,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1
60,2015-01-28,1050634,N,ES,H,55,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,0,101919.09,0,0,1,0,0
61,2015-01-28,1050635,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,37,SALAMANCA,1,77346.51,0,0,1,0,0
62,2015-01-28,1050636,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,39,CANTABRIA,1,136930.23,0,0,1,0,0
63,2015-01-28,1050639,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,50,ZARAGOZA,1,148677.18,0,0,1,0,0
64,2015-01-28,1050641,N,ES,V,42,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,28,MADRID,1,45345.18,0,0,1,0,0
65,2015-01-28,1050642,N,ES,V,58,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KFC,N,1,29,MALAGA,0,139646.15094039,0,0,0,0,0
66,2015-01-28,1050647,N,ES,H,38,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KAT,N,1,3,ALICANTE,1,28359.36,0,0,1,0,0
67,2015-01-28,1050648,N,ES,V,50,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KAT,N,1,28,MADRID,1,137894.64,0,0,1,0,0
68,2015-01-28,1050651,N,ES,H,30,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,7,"BALEARS, ILLES",1,139502.28,0,0,0,0,1
69,2015-01-28,1050652,N,ES,H,31,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,47,VALLADOLID,1,149099.88,0,0,0,0,1
70,2015-01-28,1050655,N,ES,H,45,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,36,PONTEVEDRA,1,95302.5,0,0,1,0,0
71,2015-01-28,1050658,N,ES,H,44,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KAT,N,1,28,MADRID,0,110245.53,0,0,0,0,0
72,2015-01-28,1050659,N,ES,V,39,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,7,"BALEARS, ILLES",1,139646.15094039,0,0,0,0,1
73,2015-01-28,1050661,N,ES,V,37,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,46,VALENCIA,1,60072.81,0,0,1,0,0
74,2015-01-28,1050711,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,49,ZAMORA,0,139646.15094039,0,0,1,0,0
75,2015-01-28,1050579,N,ES,H,27,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHD,N,1,44,TERUEL,0,34802.01,0,0,1,0,0
76,2015-01-28,1050577,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,22,HUESCA,1,79998.72,0,0,1,0,0
77,2015-01-28,1050507,N,ES,V,27,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,46,VALENCIA,1,55331.31,0,0,1,0,0
78,2015-01-28,1050508,N,ES,H,27,2012-08-10,0,35,1,2015-07-15,1,A,S,S,N,KHE,N,1,8,BARCELONA,1,173223.78,0,0,1,0,0
79,2015-01-28,1050509,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,0,47332.86,0,0,1,0,0
80,2015-01-28,1050511,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,15,"CORUÑA, A",1,111933,0,0,1,0,0
81,2015-01-28,1050512,N,ES,H,31,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,107634.66,0,0,1,0,0
82,2015-01-28,1050513,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,46,VALENCIA,0,55561.62,0,0,1,0,0
83,2015-01-28,1050514,N,ES,H,28,2012-08-10,0,35,1,2015-07-15,1,I,S,S,N,KHE,N,1,8,BARCELONA,0,215373.3,0,0,1,0,0
84,2015-01-28,1050515,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,10,CACERES,0,64258.14,0,0,1,0,0
85,2015-01-28,1050516,N,ES,H,24,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0
86,2015-01-28,1050517,N,ES,V,27,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,22,HUESCA,1,59930.22,0,0,1,0,0
87,2015-01-28,1050520,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,162609.54,0,0,1,0,0
88,2015-01-28,1050521,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,32,OURENSE,1,74708.49,0,0,1,0,0
89,2015-01-28,1050522,N,ES,V,25,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,0,68155.5,0,0,1,0,0
90,2015-01-28,1050523,N,ES,H,24,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,46,VALENCIA,0,77383.98,0,0,1,0,0
91,2015-01-28,1050524,N,ES,V,25,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,27,LUGO,0,56347.68,0,0,1,0,0
92,2015-01-28,1050505,N,ES,V,25,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,112330.35,0,0,1,0,0
93,2015-01-28,1050525,N,ES,H,26,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,28,MADRID,0,95392.71,0,0,1,0,0
94,2015-01-28,1050504,N,ES,V,36,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,23,JAEN,0,73020.18,0,0,1,0,0
95,2015-01-28,1050502,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,13,CIUDAD REAL,0,139646.15094039,0,0,1,0,0
96,2015-01-28,1050487,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,15,"CORUÑA, A",0,101293.11,0,0,1,0,0
97,2015-01-28,1050488,N,ES,V,26,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,22,HUESCA,1,113580.78,0,0,1,0,0
98,2015-01-28,1050489,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,8,BARCELONA,1,158207.4,0,0,1,0,0
