,ncodpers,ind_empleado,pais_residencia,sexo,age,ind_nuevo,antiguedad,indrel,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,,,,,
24,1050591,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,13,CIUDAD REAL,1,58728.39,0,0,1,0,0,,,,,
25,1050592,0,0,H,22,0,35,1,1,0,1,0,0,KHD,N,1,31,NAVARRA,0,139646.15094039,0,0,1,0,0,,,,,
26,1050595,0,0,V,25,0,35,1,1,1,1,0,0,KHE,N,1,5,AVILA,1,86863.38,0,0,1,0,0,,,,,
27,1050596,0,0,H,25,0,35,1,1,1,1,1,0,KHE,N,1,50,ZARAGOZA,1,68421.36,0,0,1,0,0,,,,,
28,1050597,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0,,,,,
29,1050598,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,45,TOLEDO,1,90408.75,0,0,1,0,0,,,,,
30,1050599,0,0,V,24,0,35,1,1,0,1,0,0,KHE,N,1,49,ZAMORA,0,74780.37,0,0,1,0,0,,,,,
31,1050601,0,0,V,26,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,120146.49,0,0,1,0,0,,,,,
32,1050602,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,37,SALAMANCA,1,91282.71,0,0,1,0,0,,,,,
33,1050603,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,1,131351.94,0,0,1,0,0,,,,,
34,1050604,0,0,H,53,0,35,1,1,1,1,0,0,KHE,N,1,37,SALAMANCA,0,113279.1,0,0,1,0,0,,,,N,0
35,1050607,0,0,V,27,0,35,1,1,0,1,0,0,KHE,N,1,40,SEGOVIA,0,70777.59,0,0,1,0,0,,,,,
36,1050580,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,27,LUGO,1,77320.92,0,0,1,0,0,,,,,
37,1050628,0,0,V,22,0,35,1,1,0,1,0,0,KHE,N,1,25,LERIDA,0,139646.15094039,0,0,1,0,0,,,,,
38,1050630,0,0,V,22,0,35,1,1,0,1,1,0,KHD,N,1,8,BARCELONA,0,64398.06,0,0,1,0,0,,,,,
39,1050669,0,0,V,32,0,35,1,1,1,1,0,0,KFC,N,1,29,MALAGA,1,171398.85,0,0,1,0,0,,,,,
40,1050670,0,0,V,37,0,35,1,1,1,1,0,0,KFC,N,1,37,SALAMANCA,1,64031.25,0,0,1,0,0,,,,,
41,1050676,0,0,V,31,0,35,1,1,1,1,0,0,KFC,N,1,45,TOLEDO,0,90431.85,0,0,1,0,0,,,,,
42,1050679,0,0,V,39,0,35,1,1,1,1,0,0,KFC,N,1,28,MADRID,1,157191.69,0,0,1,0,0,,,,,
43,1050680,0,0,V,53,0,35,1,1,1,1,0,0,KFC,N,1,8,BARCELONA,0,133092.33,0,0,0,0,0,,,,,
44,1050686,0,0,V,39,0,35,1,1,1,1,0,0,KFC,N,1,10,CACER0,1,37075.26,0,0,1,0,0,,,,,
45,1050688,0,0,V,63,0,35,1,1,1,1,0,0,KFC,N,1,28,MADRID,1,245052.27,0,0,1,0,0,,,,,
46,1050693,0,0,V,37,0,35,1,1,1,1,0,0,KFC,N,1,8,BARCELONA,0,104035.08,0,0,0,0,0,,,,,
47,1050694,0,0,V,31,0,35,1,1,1,1,0,0,KFC,N,1,28,MADRID,1,57155.34,0,0,1,0,0,,,,,
48,1050697,0,0,H,33,0,35,1,1,1,1,0,0,KFC,N,1,28,MADRID,1,139646.15094039,0,0,1,0,0,,,,,
49,1050703,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,22,HU0CA,0,53631.36,0,0,1,0,0,,,,,
50,1050704,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,8,BARCELONA,0,72880.8,0,0,1,0,0,,,,,
51,1050706,0,0,H,33,0,35,1,1,0,1,0,0,KHE,N,1,37,SALAMANCA,1,84061.95,0,0,1,0,0,,,,,
52,1050707,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,3,ALICANTE,0,106686.96,0,0,1,0,0,,,,,
53,1050710,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,3,ALICANTE,0,132398.4,0,0,1,0,0,,,,,
54,1050663,0,0,H,23,0,35,1,1,1,1,0,0,KFC,N,1,42,SORIA,1,148080.45,0,0,1,0,0,,,,,
55,1050629,0,0,V,55,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,0,101919.09,0,0,1,0,0,,,,,
56,1050662,0,0,V,37,0,35,1,1,1,1,0,0,KAT,N,1,28,MADRID,1,122456.91,0,0,1,0,0,,,,,
57,1050660,0,0,H,32,0,35,1,1,1,1,0,0,KFC,N,1,41,SEVILLA,1,94683.27,0,0,0,0,1,,,,,
58,1050632,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,8,BARCELONA,0,289211.4,0,0,1,0,0,,,,,
59,1050633,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,45,TOLEDO,1,34406.58,0,0,1,0,0,,,,,
60,1050634,0,0,H,55,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,0,101919.09,0,0,1,0,0,,,,,
61,1050635,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,37,SALAMANCA,1,77346.51,0,0,1,0,0,,,,,
62,1050636,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,39,CANTABRIA,1,136930.23,0,0,1,0,0,,,,,
63,1050639,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,50,ZARAGOZA,1,148677.18,0,0,1,0,0,,,,,
64,1050641,0,0,V,42,0,35,1,1,1,1,0,0,KFC,N,1,28,MADRID,1,45345.18,0,0,1,0,0,,,,,
65,1050642,0,0,V,58,0,35,1,1,0,1,0,0,KFC,N,1,29,MALAGA,0,139646.15094039,0,0,0,0,0,,,,,
66,1050647,0,0,H,38,0,35,1,1,1,1,0,0,KAT,N,1,3,ALICANTE,1,28359.36,0,0,1,0,0,,,,,
67,1050648,0,0,V,50,0,35,1,1,1,1,0,0,KAT,N,1,28,MADRID,1,137894.64,0,0,1,0,0,,,,,
68,1050651,0,0,H,30,0,35,1,1,1,1,0,0,KFC,N,1,7,"BALEARS, ILL0",1,139502.28,0,0,0,0,1,,,,,
69,1050652,0,0,H,31,0,35,1,1,1,1,0,0,KFC,N,1,47,VALLADOLID,1,149099.88,0,0,0,0,1,,,,,
70,1050655,0,0,H,45,0,35,1,1,1,1,0,0,KFC,N,1,36,PONTEVEDRA,1,95302.5,0,0,1,0,0,,,,,
71,1050658,0,0,H,44,0,35,1,1,0,1,0,0,KAT,N,1,28,MADRID,0,110245.53,0,0,0,0,0,,,,,
72,1050659,0,0,V,39,0,35,1,1,1,1,0,0,KFC,N,1,7,"BALEARS, ILL0",1,139646.15094039,0,0,0,0,1,,,,,
73,1050661,0,0,V,37,0,35,1,1,1,1,0,0,KFC,N,1,46,VALENCIA,1,60072.81,0,0,1,0,0,,,,,
74,1050711,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,49,ZAMORA,0,139646.15094039,0,0,1,0,0,,,,,
75,1050579,0,0,H,27,0,35,1,1,0,1,0,0,KHD,N,1,44,TERUEL,0,34802.01,0,0,1,0,0,,,,,
76,1050577,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,22,HU0CA,1,79998.72,0,0,1,0,0,,,,,
77,1050507,0,0,V,27,0,35,1,1,1,1,0,0,KHE,N,1,46,VALENCIA,1,55331.31,0,0,1,0,0,,,,,
78,1050508,0,0,H,27,0,35,1,1,1,1,1,0,KHE,N,1,8,BARCELONA,1,173223.78,0,0,1,0,0,,,,,
79,1050509,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,0,47332.86,0,0,1,0,0,,,,,
80,1050511,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,15,"CORUÑA, A",1,111933,0,0,1,0,0,,,,,
81,1050512,0,0,H,31,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,107634.66,0,0,1,0,0,,,,,
82,1050513,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,46,VALENCIA,0,55561.62,0,0,1,0,0,,,,,
83,1050514,0,0,H,28,0,35,1,1,0,1,1,0,KHE,N,1,8,BARCELONA,0,215373.3,0,0,1,0,0,,,,,
84,1050515,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,10,CACER0,0,64258.14,0,0,1,0,0,,,,,
85,1050516,0,0,H,24,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0,,,,,
86,1050517,0,0,V,27,0,35,1,1,1,1,0,0,KHE,N,1,22,HU0CA,1,59930.22,0,0,1,0,0,,,,,
87,1050520,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,162609.54,0,0,1,0,0,,,,,
88,1050521,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,32,OURENSE,1,74708.49,0,0,1,0,0,,,,,
89,1050522,0,0,V,25,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,0,68155.5,0,0,1,0,0,,,,,
90,1050523,0,0,H,24,0,35,1,1,0,1,0,0,KHE,N,1,46,VALENCIA,0,77383.98,0,0,1,0,0,,,,,
91,1050524,0,0,V,25,0,35,1,1,0,1,0,0,KHE,N,1,27,LUGO,0,56347.68,0,0,1,0,0,,,,,
92,1050505,0,0,V,25,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,112330.35,0,0,1,0,0,,,,,
93,1050525,0,0,H,26,0,35,1,1,0,1,0,0,KHE,N,1,28,MADRID,0,95392.71,0,0,1,0,0,,,,,
94,1050504,0,0,V,36,0,35,1,1,0,1,0,0,KHE,N,1,23,JAEN,0,73020.18,0,0,1,0,0,,,,,
95,1050502,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,13,CIUDAD REAL,0,139646.15094039,0,0,1,0,0,,,,,
96,1050487,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,15,"CORUÑA, A",0,101293.11,0,0,1,0,0,,,,,
97,1050488,0,0,V,26,0,35,1,1,1,1,0,0,KHE,N,1,22,HU0CA,1,113580.78,0,0,1,0,0,,,,,
98,1050489,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,8,BARCELONA,1,158207.4,0,0,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,S,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Es,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,S,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,I,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,
